,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
10,1121.988296508789,1121.988296508789,22.897720336914062,22.897720336914062,1121.988296508789,1121.988296508789,22.897720336914062,160.28404235839844,3.2711029052734375,1121.988296508789,1121.988296508789,1121.988296508789,1121.988296508789,3.2711029052734375,54977.426528930664,54977.426528930664,160.28404235839844,22.897720336914062,7853.918075561523,0.4673004150390625,22.897720336914062,1121.988296508789,160.28404235839844,22.897720336914062,22.897720336914062,160.28404235839844,0.4673004150390625,3.2711029052734375,160.28404235839844,160.28404235839844,22.897720336914062,160.28404235839844,3.2711029052734375,160.28404235839844,1121.988296508789,22.897720336914062,0.4673004150390625,160.28404235839844,1121.988296508789,22.897720336914062,54977.426528930664,160.28404235839844,7853.918075561523,1121.988296508789,160.28404235839844,160.28404235839844,7853.918075561523,3.2711029052734375,1121.988296508789,22.897720336914062
11,1963.4795188903809,1963.4795188903809,40.07101058959961,40.07101058959961,280.49707412719727,1963.4795188903809,5.724430084228516,40.07101058959961,0.8177757263183594,280.49707412719727,280.49707412719727,280.49707412719727,1963.4795188903809,0.8177757263183594,13744.356632232666,13744.356632232666,40.07101058959961,5.724430084228516,13744.356632232666,0.8177757263183594,5.724430084228516,1963.4795188903809,280.49707412719727,5.724430084228516,5.724430084228516,280.49707412719727,0.11682510375976562,5.724430084228516,40.07101058959961,280.49707412719727,40.07101058959961,40.07101058959961,0.8177757263183594,40.07101058959961,280.49707412719727,40.07101058959961,0.8177757263183594,280.49707412719727,280.49707412719727,40.07101058959961,96210.49642562866,280.49707412719727,13744.356632232666,1963.4795188903809,40.07101058959961,280.49707412719727,13744.356632232666,0.8177757263183594,1963.4795188903809,40.07101058959961
12,3436.0891580581665,3436.0891580581665,10.017752647399902,10.017752647399902,490.8698797225952,490.8698797225952,1.431107521057129,70.12426853179932,1.431107521057129,490.8698797225952,70.12426853179932,70.12426853179932,490.8698797225952,0.20444393157958984,3436.0891580581665,3436.0891580581665,70.12426853179932,1.431107521057129,24052.624106407166,0.20444393157958984,1.431107521057129,490.8698797225952,490.8698797225952,1.431107521057129,1.431107521057129,70.12426853179932,0.20444393157958984,1.431107521057129,70.12426853179932,490.8698797225952,70.12426853179932,10.017752647399902,0.20444393157958984,10.017752647399902,490.8698797225952,70.12426853179932,0.20444393157958984,490.8698797225952,70.12426853179932,70.12426853179932,24052.624106407166,490.8698797225952,3436.0891580581665,3436.0891580581665,10.017752647399902,490.8698797225952,3436.0891580581665,1.431107521057129,3436.0891580581665,10.017752647399902
13,859.0222895145416,6013.156026601791,17.53106713294983,2.5044381618499756,859.0222895145416,122.7174699306488,0.3577768802642822,17.53106713294983,0.3577768802642822,859.0222895145416,17.53106713294983,122.7174699306488,859.0222895145416,0.05111098289489746,6013.156026601791,859.0222895145416,17.53106713294983,2.5044381618499756,6013.156026601791,0.3577768802642822,0.3577768802642822,122.7174699306488,859.0222895145416,0.3577768802642822,0.3577768802642822,122.7174699306488,0.3577768802642822,0.3577768802642822,17.53106713294983,859.0222895145416,17.53106713294983,2.5044381618499756,0.3577768802642822,17.53106713294983,859.0222895145416,17.53106713294983,0.05111098289489746,122.7174699306488,122.7174699306488,122.7174699306488,42092.09218621254,122.7174699306488,859.0222895145416,6013.156026601791,17.53106713294983,122.7174699306488,6013.156026601791,0.3577768802642822,859.0222895145416,17.53106713294983
14,1503.2890066504478,10523.023046553135,4.382766783237457,0.6261095404624939,214.7555723786354,214.7555723786354,0.08944422006607056,4.382766783237457,0.6261095404624939,214.7555723786354,30.6793674826622,214.7555723786354,1503.2890066504478,0.012777745723724365,1503.2890066504478,214.7555723786354,30.6793674826622,0.6261095404624939,10523.023046553135,0.08944422006607056,0.08944422006607056,30.6793674826622,214.7555723786354,0.08944422006607056,0.6261095404624939,214.7555723786354,0.6261095404624939,0.6261095404624939,30.6793674826622,1503.2890066504478,4.382766783237457,0.6261095404624939,0.6261095404624939,4.382766783237457,214.7555723786354,4.382766783237457,0.08944422006607056,214.7555723786354,30.6793674826622,214.7555723786354,10523.023046553135,214.7555723786354,1503.2890066504478,1503.2890066504478,30.6793674826622,30.6793674826622,1503.2890066504478,0.6261095404624939,1503.2890066504478,30.6793674826622
15,2630.7557616382837,18415.290331467986,7.66984187066555,0.15652738511562347,375.82225166261196,53.68889309465885,0.15652738511562347,1.0956916958093643,0.15652738511562347,375.82225166261196,7.66984187066555,375.82225166261196,2630.7557616382837,0.0031944364309310913,2630.7557616382837,375.82225166261196,7.66984187066555,1.0956916958093643,2630.7557616382837,0.15652738511562347,0.02236105501651764,53.68889309465885,375.82225166261196,0.15652738511562347,1.0956916958093643,53.68889309465885,0.15652738511562347,1.0956916958093643,7.66984187066555,375.82225166261196,7.66984187066555,1.0956916958093643,1.0956916958093643,1.0956916958093643,53.68889309465885,7.66984187066555,0.02236105501651764,375.82225166261196,7.66984187066555,375.82225166261196,2630.7557616382837,375.82225166261196,375.82225166261196,375.82225166261196,7.66984187066555,7.66984187066555,375.82225166261196,1.0956916958093643,375.82225166261196,53.68889309465885
16,657.6889404095709,32226.758080068976,1.9174604676663876,0.03913184627890587,657.6889404095709,93.95556291565299,0.2739229239523411,1.9174604676663876,0.03913184627890587,93.95556291565299,1.9174604676663876,93.95556291565299,4603.8225828669965,0.0007986091077327728,657.6889404095709,93.95556291565299,1.9174604676663876,0.2739229239523411,4603.8225828669965,0.03913184627890587,0.03913184627890587,93.95556291565299,93.95556291565299,0.2739229239523411,0.2739229239523411,13.422223273664713,0.03913184627890587,1.9174604676663876,13.422223273664713,93.95556291565299,1.9174604676663876,1.9174604676663876,0.2739229239523411,0.2739229239523411,93.95556291565299,13.422223273664713,0.03913184627890587,657.6889404095709,1.9174604676663876,657.6889404095709,4603.8225828669965,93.95556291565299,93.95556291565299,657.6889404095709,1.9174604676663876,13.422223273664713,657.6889404095709,1.9174604676663876,93.95556291565299,93.95556291565299
17,1150.9556457167491,8056.689520017244,0.4793651169165969,0.06848073098808527,1150.9556457167491,23.488890728913248,0.4793651169165969,0.4793651169165969,0.06848073098808527,23.488890728913248,3.3555558184161782,23.488890728913248,1150.9556457167491,0.0013975659385323524,1150.9556457167491,23.488890728913248,3.3555558184161782,0.06848073098808527,8056.689520017244,0.009782961569726467,0.009782961569726467,164.42223510239273,23.488890728913248,0.06848073098808527,0.06848073098808527,3.3555558184161782,0.06848073098808527,0.4793651169165969,3.3555558184161782,164.42223510239273,3.3555558184161782,3.3555558184161782,0.06848073098808527,0.4793651169165969,164.42223510239273,23.488890728913248,0.06848073098808527,164.42223510239273,0.4793651169165969,1150.9556457167491,8056.689520017244,164.42223510239273,23.488890728913248,164.42223510239273,3.3555558184161782,23.488890728913248,1150.9556457167491,0.4793651169165969,164.42223510239273,164.42223510239273
18,2014.172380004311,2014.172380004311,0.8388889546040446,0.11984127922914922,287.7389114291873,5.872222682228312,0.8388889546040446,0.8388889546040446,0.017120182747021317,5.872222682228312,0.8388889546040446,41.10555877559818,2014.172380004311,0.0003493914846330881,287.7389114291873,5.872222682228312,5.872222682228312,0.11984127922914922,2014.172380004311,0.0024457403924316168,0.017120182747021317,41.10555877559818,41.10555877559818,0.11984127922914922,0.017120182747021317,5.872222682228312,0.017120182747021317,0.8388889546040446,5.872222682228312,287.7389114291873,0.8388889546040446,0.8388889546040446,0.11984127922914922,0.8388889546040446,41.10555877559818,41.10555877559818,0.017120182747021317,41.10555877559818,0.8388889546040446,2014.172380004311,14099.206660030177,41.10555877559818,5.872222682228312,287.7389114291873,5.872222682228312,5.872222682228312,287.7389114291873,0.8388889546040446,41.10555877559818,287.7389114291873
19,3524.801665007544,3524.801665007544,0.20972223865101114,0.20972223865101114,503.54309500107775,10.276389693899546,1.468055670557078,0.20972223865101114,0.004280045686755329,1.468055670557078,1.468055670557078,71.93472785729682,503.54309500107775,8.734787115827203e-05,71.93472785729682,10.276389693899546,10.276389693899546,0.20972223865101114,3524.801665007544,0.004280045686755329,0.029960319807287306,10.276389693899546,10.276389693899546,0.20972223865101114,0.029960319807287306,10.276389693899546,0.004280045686755329,1.468055670557078,1.468055670557078,503.54309500107775,0.20972223865101114,1.468055670557078,0.20972223865101114,1.468055670557078,71.93472785729682,10.276389693899546,0.029960319807287306,10.276389693899546,1.468055670557078,503.54309500107775,24673.61165505281,10.276389693899546,1.468055670557078,503.54309500107775,10.276389693899546,1.468055670557078,503.54309500107775,1.468055670557078,71.93472785729682,503.54309500107775
