,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
21,849.6259695789377,212.4064923947344,13,21,T,0.6,Lose,9,H,,30350.721935690217,7587.680483922554,8,21,T,0.4,Lose,14,H,,50584.53655948369,12646.134139870923,18,21,H,0.8,Win,4,H,,1416.0432826315628,354.0108206578907,11,21,T,0.5,Win,11,T,,2360.0721377192713,590.0180344298178,11,21,T,0.5,Win,11,T,,849.6259695789377,212.4064923947344,12,21,T,0.5,Lose,10,H,,509.7755817473626,127.44389543684065,12,21,T,0.5,Lose,10,H,,1416.0432826315628,354.0108206578907,14,21,H,0.6,Win,8,H,,1416.0432826315628,354.0108206578907,12,21,T,0.5,Lose,10,H,,2360.0721377192713,590.0180344298178,12,21,T,0.5,Win,10,T
22,637.2194771842032,159.3048692960508,14,22,H,0.6,Win,9,H,,22763.04145176766,5690.760362941915,8,22,T,0.3,Win,15,T,,63230.67069935461,15807.667674838653,19,22,H,0.8,Win,4,H,,1770.0541032894535,442.51352582236336,11,22,T,0.5,Win,12,T,,2950.090172149089,737.5225430372723,12,22,T,0.5,Lose,11,H,,637.2194771842032,159.3048692960508,13,22,T,0.6,Lose,10,H,,382.33168631052195,95.58292157763049,12,22,T,0.5,Win,11,T,,1770.0541032894535,442.51352582236336,15,22,H,0.7,Win,8,H,,1062.032461973672,265.508115493418,12,22,T,0.5,Win,11,T,,2950.090172149089,737.5225430372723,13,22,T,0.6,Lose,10,H
23,796.524346480254,199.1310866200635,15,23,H,0.6,Win,9,H,,28453.80181470958,7113.450453677395,9,23,T,0.4,Lose,15,H,,79038.33837419326,19759.584593548316,19,23,H,0.8,Lose,5,T,,2212.567629111817,553.1419072779543,12,23,T,0.5,Lose,12,H,,2212.567629111817,553.1419072779543,12,23,T,0.5,Win,12,T,,477.91460788815243,119.47865197203811,14,23,T,0.6,Lose,10,H,,477.91460788815243,119.47865197203811,13,23,T,0.5,Lose,11,H,,2212.567629111817,553.1419072779543,15,23,H,0.6,Lose,9,T,,1327.54057746709,331.8851443667725,13,23,T,0.5,Lose,11,H,,2212.567629111817,553.1419072779543,14,23,T,0.6,Lose,10,H
24,995.6554331003176,248.9138582750794,16,24,H,0.6,Win,9,H,,21340.351361032182,5335.087840258046,9,24,T,0.4,Win,16,T,,59278.75378064495,14819.688445161237,19,24,H,0.8,Lose,6,T,,1659.4257218338628,414.8564304584657,12,24,T,0.5,Win,13,T,,2765.7095363897715,691.4273840974429,12,24,T,0.5,Win,13,T,,358.4359559161143,89.60898897902858,15,24,H,0.6,Win,10,H,,358.4359559161143,89.60898897902858,13,24,T,0.5,Win,12,T,,1659.4257218338628,414.8564304584657,15,24,H,0.6,Lose,10,T,,995.6554331003176,248.9138582750794,13,24,T,0.5,Win,12,T,,1659.4257218338628,414.8564304584657,15,24,H,0.6,Win,10,H
25,1244.569291375397,311.14232284384923,16,25,H,0.6,Lose,10,T,,26675.439201290228,6668.859800322557,10,25,T,0.4,Lose,16,H,,44459.06533548371,11114.766333870928,20,25,H,0.8,Win,6,H,,2074.2821522923286,518.5705380730822,12,25,T,0.5,Win,14,T,,3457.1369204872144,864.2842301218036,13,25,T,0.5,Lose,13,H,,448.0449448951429,112.01123622378573,16,25,H,0.6,Win,10,H,,448.0449448951429,112.01123622378573,13,25,T,0.5,Win,13,T,,1244.5692913753971,311.1423228438493,16,25,H,0.6,Win,10,H,,1244.569291375397,311.14232284384923,13,25,T,0.5,Win,13,T,,2074.2821522923286,518.5705380730822,15,25,H,0.6,Lose,11,T
26,933.4269685315477,233.35674213288692,17,26,H,0.6,Win,10,H,,20006.579400967672,5001.644850241918,10,26,T,0.4,Win,17,T,,55573.83166935464,13893.45791733866,21,26,H,0.8,Win,6,H,,2592.852690365411,648.2131725913528,12,26,T,0.4,Win,15,T,,2592.852690365411,648.2131725913528,13,26,T,0.5,Win,14,T,,560.0561811189286,140.01404527973216,17,26,H,0.6,Win,10,H,,560.0561811189286,140.01404527973216,14,26,T,0.5,Lose,13,H,,1555.7116142192465,388.9279035548116,16,26,H,0.6,Lose,11,T,,1555.7116142192463,388.92790355481156,13,26,T,0.5,Win,14,T,,1555.7116142192465,388.9279035548116,16,26,H,0.6,Win,11,H
27,1166.7837106644347,291.6959276661087,17,27,H,0.6,Lose,11,T,,25008.22425120959,6252.056062802398,11,27,T,0.4,Lose,17,H,,69467.2895866933,17366.822396673324,22,27,H,0.8,Win,6,H,,3241.065862956764,810.266465739191,12,27,T,0.4,Win,16,T,,3241.065862956764,810.266465739191,13,27,T,0.5,Win,15,T,,700.0702263986608,175.0175565996652,17,27,H,0.6,Lose,11,T,,420.0421358391965,105.01053395979912,15,27,T,0.5,Lose,13,H,,1166.783710664435,291.69592766610873,16,27,H,0.6,Lose,12,T,,1944.6395177740578,486.15987944351446,13,27,T,0.5,Win,15,T,,1944.639517774058,486.1598794435145,17,27,H,0.6,Win,11,H
28,875.087782998326,218.7719457495815,17,28,H,0.6,Lose,12,T,,18756.168188407195,4689.042047101799,12,28,T,0.4,Lose,17,H,,86834.11198336662,21708.527995841654,22,28,H,0.8,Lose,7,T,,4051.332328695955,1012.8330821739887,13,28,T,0.4,Lose,16,H,,4051.332328695955,1012.8330821739887,14,28,T,0.5,Lose,15,H,,525.0526697989956,131.2631674497489,18,28,H,0.6,Win,11,H,,315.0316018793974,78.75790046984935,15,28,T,0.5,Win,14,T,,875.0877829983262,218.77194574958156,16,28,H,0.6,Lose,13,T,,2430.7993972175723,607.6998493043931,14,28,T,0.5,Lose,15,H,,2430.7993972175727,607.6998493043932,17,28,H,0.6,Lose,12,T
29,656.3158372487445,164.07895931218613,18,29,H,0.6,Win,12,H,,14067.126141305396,3516.781535326349,12,29,T,0.4,Win,18,T,,65125.583987524966,16281.395996881241,22,29,H,0.7,Lose,8,T,,3038.499246521966,759.6248116304915,14,29,T,0.5,Lose,16,H,,3038.499246521966,759.6248116304915,15,29,T,0.5,Lose,15,H,,656.3158372487444,164.0789593121861,18,29,H,0.6,Lose,12,T,,393.78950234924673,98.44737558731168,16,29,T,0.5,Lose,14,H,,656.3158372487446,164.07895931218616,16,29,T,0.5,Win,14,T,,1823.0995479131793,455.77488697829483,14,29,T,0.5,Win,16,T,,1823.0995479131795,455.7748869782949,18,29,H,0.6,Win,12,H
30,820.3947965609307,205.09869914023267,19,30,H,0.6,Win,12,H,,17583.907676631745,4395.976919157936,13,30,T,0.4,Lose,18,H,,48844.187990643724,12211.046997660931,22,30,H,0.7,Lose,9,T,,2278.8744348914747,569.7186087228687,14,30,T,0.5,Win,17,T,,2278.8744348914747,569.7186087228687,16,30,T,0.5,Lose,15,H,,492.2368779365583,123.05921948413958,19,30,H,0.6,Win,12,H,,295.34212676193505,73.83553169048376,17,30,T,0.5,Lose,14,H,,820.3947965609308,205.0986991402327,16,30,T,0.5,Win,15,T,,2278.8744348914743,569.7186087228686,14,30,T,0.5,Win,17,T,,2278.8744348914743,569.7186087228686,19,30,H,0.6,Win,12,H
