,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
29,11679.804816116268,9556.203940458765,7818.712314920803,3503.7614574274553,14275.316997475438,9556.203940458761,1919.0398966676303,9556.203940458761,7818.712314920803,6397.128257662475
30,12847.785297727894,8600.583546412889,7036.841083428722,3854.1376031702007,15702.848697222982,10511.824334504638,2110.9438863343935,10511.824334504638,8600.583546412883,5757.415431896228
31,11563.006767955105,7740.5251917716,6333.15697508585,3468.7238428531805,17273.133566945282,9460.641901054174,2322.038274967833,11563.006767955101,9460.641901054172,6333.156975085851
32,12719.307444750615,8514.577710948759,5699.841277577265,3121.851458567862,19000.44692363981,8514.577710948757,2554.242102464616,10406.70609115959,8514.577710948755,6966.472672594436
33,13991.238189225676,7663.119939853883,5129.857149819539,3434.0366044246484,20900.49161600379,7663.119939853881,2809.666312711078,11447.37670027555,7663.119939853879,6269.825405334992
34,12592.114370303108,8429.43193383927,4616.871434837585,3090.6329439821834,18810.442454403412,6896.807945868493,2528.69968143997,12592.114370303105,6896.8079458684915,6896.8079458684915
35,11332.902933272797,9272.375127223198,5078.558578321344,3399.6962383804016,16929.39820896307,7586.488740455343,2781.569649583967,13851.325807333415,7586.488740455341,7586.488740455341
36,10199.612639945517,10199.612639945519,4570.702720489209,3739.665862218442,18622.338029859377,8345.137614500876,3059.7266145423637,12466.193226600073,6827.839866409807,8345.137614500874
37,9179.651375950965,11219.57390394007,5027.77299253813,3365.699275996598,20484.571832845315,7510.623853050789,2753.753953088127,13712.812549260081,7510.623853050787,9179.651375950962
38,10097.616513546061,12341.531294334078,5530.550291791943,3702.2692035962577,22533.029016129847,6759.56146774571,3029.12934839694,12341.531294334072,6759.561467745709,10097.616513546058
39,9087.854862191456,13575.684423767485,4977.495262612749,3332.042283236632,20279.726114516863,6083.605320971139,2726.2164135572457,13575.68442376748,6083.605320971138,9087.854862191452
40,9996.640348410601,12218.115981390736,5475.2447888740235,3665.2465115602954,22307.69872596855,6691.965853068253,2998.83805491297,12218.115981390732,6691.965853068252,8179.069375972307
41,10996.304383251661,13439.927579529809,4927.720309986621,4031.771162716325,20076.928853371694,6022.769267761428,2698.954249421673,10996.30438325166,6022.769267761427,7361.162438375077
